,crystal_name,indirect_bandgap (eV),_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma
57,Li3Mn13O16,0.3707,5.41762892,5.410360059,8.31986295,90.23984889,89.97007309,89.88083055
58,Li6Mn14O32,0.3686,7.455567384,7.538699901,7.454165101,90.43720769,89.63751099,90.19694693
59,Li6Mn10O16,0.3718,5.459392393,5.45562178,7.939471433,89.74666683,90.20587956,89.29711782
60,Li15Mn9O24,0.3909,4.565979334,7.899055868,9.062286253,89.97590348,99.5246728,89.72524509
61,Li14Mn10O24,0.3707,4.56265867,7.922900636,9.089076178,89.99614627,99.25208173,90.0026856
62,Li7Mn8O16,0.3692,5.288193037,5.368991486,7.976490405,90.01071797,90.02198988,89.99997286
63,Li4O8YZr3,0.4259,4.18582389,4.185949805,9.023792243,89.99999974,90.00000001,89.99999999
64,Li3O8Y2Zr2,0.4642,4.181772259,4.18177545,9.331201844,90.00000055,90.00000256,89.9999998
65,Li3O8Y3Zr,3.2209,4.189716285,4.189716283,9.752180878,90.00000073,90.00000015,89.9999987
66,KLi2O8Ti3,0.3732,3.544139173,14.47435169,2.850524376,88.12723204,90.00001311,89.99965278
67,Ba3Li7Mo16O64Tm6,1.6295,4.816053629,11.65129024,17.68296376,90.213796,91.20979732,90.17075927
68,K2O8Ti3,0.3664,3.608884761,13.7804626,2.850771277,91.9878554,89.93518723,92.029738
69,Li3Nb3O18W3,1.3154,4.805130019,4.80517663,12.9199638,89.99871351,90.00129083,120.0111577
70,LiNb4O18W2,2.316,4.745389442,4.745436312,12.94397724,89.99530435,90.00154551,120.0124501
71,Li4Nb3O18W3,0.3692,4.828819931,4.828846931,12.93136631,89.99813455,90.00079212,120.0104679
72,Li5Nb3O18W3,0.5186,4.850448515,4.850454125,13.04536689,89.99816288,90.00176245,120.0101897
73,Cr5Fe5Li9O32Sb5,0.3671,7.67346746,7.970349184,7.851322417,89.57220387,89.14607427,89.77683746
74,Li2Nb2O18W4,1.6739,4.778750189,4.778744902,12.95235254,89.99760763,90.00241761,120.0092657
75,AlLi2O6Si2,0.9652,4.888972928,5.057183064,5.098079761,89.99942977,90.00166766,119.8168823
76,Al3Li4O24Si9,1.0021,6.784286193,7.003566328,8.231111797,87.44509476,90.14107803,89.34465083
77,AlLiO6Si2,6.9961,4.952249663,5.057931997,5.210423337,89.99983201,90.00107317,120.3425657
78,Li2O16Si4Zn6,3.9489,5.448905399,9.173548964,4.70888803,90.00249826,90.26051429,90.00087795
79,Li6O16Si5Zn,1.8963,5.395588638,8.954928511,4.594083644,90.17105016,89.02806623,90.8445338
80,Li26Si8,0.5852,7.425156212,14.12643443,4.146727644,89.99994194,89.99995317,89.97176183
81,Li24Si8,0.4664,7.340411081,13.95237525,4.093313314,90.00014664,90.00005464,89.99999937
82,Li3Mg2O16Sn7,0.6101,5.934264772,5.887262356,9.506628664,90.52832094,90.00635969,120.2867655
83,Li3Mo3N6,0.4073,2.809303246,2.809291382,14.52683958,89.99258515,90.00908023,119.9893926
84,Li4Mg2O16Sn6,0.605,6.073455553,5.751239583,9.055706432,91.66967708,90.00990737,121.8805439
85,Li2Mo4N6,0.4157,2.807429646,2.807430394,14.90531245,90.00083665,89.99946917,119.9843622
86,Li4Mo2N6,0.3762,2.803036232,2.803012332,14.27687019,89.99606821,90.00416465,120.0046383
87,Li2MgNi2O6,0.4116,2.720847846,2.720848742,12.91392251,90.00093083,89.99921534,119.9954566
88,LiNi3O6,0.8473,2.706702795,2.706706609,12.44515447,89.9955047,90.00496894,119.9937579
89,F2Fe8Li2Na5O46Si16,0.7128,9.084490937,16.59503107,4.946530928,90.00008745,104.8186167,90.0001601
90,F2Fe9LiMnNa4O46Si16,0.3977,9.127241037,16.63004934,4.913985859,89.99269875,105.3798968,90.01158643
91,Ni3O6,1.0486,2.696289603,2.696298698,12.15416702,90.00313655,89.99776662,119.9875656
92,Li2Ni2O6,0.366,2.683591072,2.684346248,12.14448296,90.04111902,89.9321253,120.0261038
93,Cd5Li8Zn3,0.4565,6.276066251,6.224229587,6.22424918,90.00749634,90.00002884,89.99981902
94,Cd4Li8Zn4,0.4929,6.139009395,6.139009513,6.245234686,90.00001741,90.00001626,89.84536995
95,Cr2Li4Mn2O72P18Ti10,0.4113,7.824047934,7.824189817,19.58660984,89.99636709,90.0011214,120.0354526
96,LiO32Ta12,2.8801,16.26226451,3.702377036,8.34583608,90.00000429,90.24572928,90.00001094
97,Ag3Li6Si7,0.4843,6.293976217,5.680350431,6.293310207,89.99981526,90.65497114,89.99981031
98,Ag6In6Li4,0.481,6.655012977,6.542099828,6.542100145,90.00006431,90.00000186,89.99999989
99,Ag4Li8Tl4,0.5418,6.430616872,6.43061679,6.479404552,90.00001813,90.00001838,89.99999918
100,Ag2Li8Tl6,0.3981,6.583607001,6.583606965,6.583617853,89.81042643,89.81042737,90.18949034
101,Ag3Li7Si6,0.6729,6.159262031,6.159262217,5.676458639,89.99998994,89.99998852,89.53990137
102,Ag2Li10Sn4,0.8146,6.256199785,6.267964069,6.256199286,90.00000612,89.9999843,89.99999609
103,AgLi8Tl7,0.895,6.679697246,6.679697115,6.679699781,90.00007916,90.00006573,89.99999732
104,Ag4Li7Si5,0.4186,5.989293342,5.989250795,5.989278088,89.89822455,90.10166535,90.10172927
105,Al2Fe3Mg5Na4O48Si16,0.4443,8.83027728,16.67739425,4.985196761,89.9998554,104.2664138,90.00006966
106,FeLi4Mn2O16P4,0.4303,4.41880334,9.354389057,5.479836919,89.99987872,90.00007233,90.22750918
107,Fe2Li4MnO16P4,0.4253,4.421403636,9.341715971,5.465273305,89.99993613,90.00010001,90.3562126
108,Ca2KLi2Na2O40Si16,5.3421,6.587861722,6.582219526,14.10043464,89.99992231,90.00011894,90.00084229
109,Al3Fe4Mg3Na4O48Si16,0.9092,8.814615494,16.62555201,4.976446401,89.99987408,104.2528325,90.00004002
110,Al4Fe3Mg3Na4O48Si16,1.0433,8.817897705,16.65994497,4.970271943,89.99994472,104.2684868,90.00004608
111,Ge4Li16O16Zn,0.5724,10.17242334,5.881699957,4.768497336,88.63559952,89.09791864,91.38052907
112,CdLi3Mg4P4,0.8121,5.980747076,6.010071537,5.980747209,90.0000027,89.99999847,90.00000159
