,indirect_bandgap (eV),crystal_name,_cell_length_c,_cell_length_b,_cell_length_a,_cell_angle_gamma,_cell_angle_beta,_cell_angle_alpha
969,5.1802,F24In4Li7Zn,4.54435169735,16.0439981392,4.26473898531999,89.999875717,89.8398730069,89.9998471443
1628,0.4363,LiO10S4Ti4Y4,22.3001414609,3.84017892262,3.78783628766,89.9999998218,89.9999999107,89.9999998353
2063,0.3809,Fe2Li2NiO6,13.9039750765,2.82158346141,2.82158354429,120.002600829,89.9994783481,90.0005062805999
1330,0.3646,Li4Mn18O32,7.50288160318,7.60782526072,7.607026074,90.0476809029999,90.0758479263999,89.9873934248999
3230,0.3713,Co11Li5Mo12O48,17.000156514,10.0851139099,4.90717755929,90.2732848256,90.0289890638,90.4158195798
3107,5.2838,Al6Li2O24Si6,9.43017831002,7.64539970981999,7.76255330367,90.0756335924,89.6568878142,90.756623911
1988,1.0021,Al3Ca3F3Fe4Mg6Na2O45Si13,5.22671119619,17.6192221558,9.57854676673,90.0060556321999,104.897690797,90.053981596
377,0.9182,B2Li3O6Zn2,5.77682536179999,4.79674878047,4.69503153068,60.3552407427,68.1137550914,66.2353188887
5192,0.365399999999998,Fe15Li3O32V6,7.80486826266,7.71521214638999,7.73100451778999,89.7876042412999,90.5210858347999,91.4714879957
2196,0.5371,FeLi3MgMn2O16P4,5.70777058488,9.85843586071,4.64121837556,89.9020319728,90.4668004312,89.6022964405
3825,4.1628,Cl2Li8N23OP12,7.58574376798999,13.3414574009,4.57493300406999,90.1540375854999,90.3241184896,89.9055769654999
2732,0.3991,Gd4Mo4O16,10.9190154278,5.1489590607,5.14893103795,89.9990702129,89.9999724287,89.9999288649
1611,0.9836,Fe4Li3NaO24Si8,5.24243492541,8.46351340168,9.4726199086,89.9999986439,110.014234093,89.9999886202
2574,3.4994,Cd3Li5O16V4,6.42118329149,8.85775106248,5.88090272815,90.0000195363999,89.9999888485,90.1299761285
1451,0.3684,Al20B9Fe4Mn3NaO93Si18,6.60209236835,15.0208949861999,15.060510477,120.065130052999,90.0190148464,89.9547255397
2,0.3752,La5Li2O18Ti6,13.2399951841,5.29043259934,5.29459803641,119.976549037,90.1475821797,90.0014943376
2047,0.392999999999999,Li8Mg2Mn3Ni4O16,8.15340559663999,5.82062041803,5.76963397340999,92.0770174787,88.9891558611,89.0891469333
4508,0.3643,Fe9Li3O32V12,7.71041616402,7.81474518303999,7.8082173689,89.773979438,91.0475235323999,91.0622949009
660,0.388999999999998,Li2Ni3O6,12.8911721013,2.70456538627,2.70456358599,119.995270625,90.0010386129,89.9992060503
4689,4.5561,I2Li2O6,4.55978448406,5.09042942801,5.09055942619,120.014667361,90.0000176187999,89.99996585
553,0.5939,Fe4Li4O16Sb2Sn2,9.17149164245,5.61758916249,5.63439387429,119.529872279,90.1600087747999,89.8167719122
293,0.3694,Br32Li18Mn7,10.4239152519,10.4376398817,10.4205636547,90.3460876229,89.8901874077,90.3104337641
5512,0.7583,Al15LiMg8NaO72Si21,9.40597640905,9.78090419034,17.0401259522,90.2550921595,90.0390385158,90.0080290633
4230,0.375999999999998,CaF2Fe2Mg6Mn2Na5O46Si16,5.17519073944,17.6105168439,9.71552133768,89.9394290341,104.687580009,90.0663880045999
1700,0.372199999999999,Li24Mo8O26,8.31741521402,8.46949714795,8.24368410591,88.3598205282,90.2757475541,89.7158293072
4818,0.412399999999998,Li3O6V3,14.0353239389,2.6535549243,2.65355347989,120.000958258,89.9991684101,90.0008718805999
3840,1.4609,Al3F3K2Li2MnO21Si7,9.19956183475,8.52573555439,4.9305658273,90.1654792351,100.86971863,89.9293994728
5665,0.364,Fe15Li6Mg3O32,7.97993922056999,8.03921633627,7.99268676341,89.9264866971999,90.0717334036,89.6799234123
238,0.3977,Li11P4Ti,5.69246604919,5.69246700941999,5.69246706061999,90.0000249373,90.0000460665999,89.9999919092
1388,0.4113,Fe3LiMnO16P4,4.39756247159,9.24372616068,5.3078384605,89.2963645308,90.5982663178,91.2290556182
6032,0.5379,AlLiNa6O72P18Ti11,21.7296208596,8.53420988358,8.53279694577,119.920061173,89.7208839686,90.2565513113999
3750,0.4109,Al19FeLi2Mg3O48Si7,5.42252830865,15.803858137,7.53471746188,90.0229723276,89.9943478592,90.0014775890999
892,1.8429,Li3O48P12V8,10.5191122864,8.1328202868,7.69743183368,89.9902162943,88.8353339745999,89.9707837712
257,0.9973,Li4P20,6.5093526061,6.48317856575999,10.1283223246,90.1628005499,90.3775591712999,88.9254372912
3120,0.3634,Fe5Li8Mn11O32,7.98485787968,7.91290970928,7.72058340916,88.8266919187,90.6432624465,91.8363770465999
3391,0.3827,Ba2O14Pr4Ru4,12.6463851651,5.30644318792,5.3146464873,89.6953555076,90.7793063594,89.8168615968
1675,0.6241,Li2O29Ta12,8.97167161366,3.84918173038,16.8228185657,90.000000007,90.0738709512,90.0000000130999
195,0.461,Al2Cu16Li8,16.9559850389,4.73029257839999,4.73029379743,119.996669564,89.9999783088,89.9999771235
4803,0.3746,Al19FeLiO48Si7Zn,5.37290268215,15.7320618743,7.48647863368,89.7111806876,89.9835748154,89.758046201
5475,0.4222,Br4Li3Mn,5.19543911164,5.19547191038,5.19550165768999,90.003009244,89.9954857295,90.0117370352
6089,0.3682,Li6Mn16O31,7.7941134776,7.9218550023,7.74621876876,88.2185852537999,90.0707792517,91.3572563286
2878,0.846,K2LiO8Zn7,3.33207372774,8.27685028475,8.31505263539999,89.4853481451,89.9999672829999,89.9999903520999
2429,1.4326,Li13Mo12O48Sc3,17.4387808655,10.4636654298,5.08283532574,89.9999586809,91.674053524,89.9999931239
3345,0.422099999999999,Al19Fe2MgO48Si7,5.39318871071,15.7401856947,7.50079062978,89.9952683187999,90.3895049465,90.0198440969
2584,5.5276,Li3O26Si6Y7,6.78288771504,9.2798285788,9.28007242098999,120.001721218999,90.0003583263999,89.9991238920999
