n_trial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
12,0.0191,0.0945,0.0115,0.1386,0.1872,0.0519,0.0939,0.0871,0.087,0.0157,0.3689,0.087,0.1891,0.1891,0.1187,0.2248,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.1961,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.155,0.0536,0.0809,0.1746,0.066,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.3518
13,0.0191,0.0945,0.0115,0.1386,0.1872,0.0519,0.0248,0.0871,0.087,0.0157,0.3689,0.087,0.1891,0.1891,0.1187,0.2248,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.1396,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.155,0.0536,0.0809,0.1595,0.066,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
14,0.0191,0.0945,0.0115,0.0866,0.1872,0.0519,0.0248,0.0871,0.087,0.0157,0.3689,0.087,0.1891,0.1891,0.1187,0.2248,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.1396,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0536,0.0809,0.1595,0.0115,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
15,0.0191,0.0945,0.0115,0.0866,0.1872,0.0519,0.0248,0.0871,0.087,0.0157,0.3689,0.087,0.1891,0.1891,0.1187,0.0115,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0536,0.0115,0.1595,0.0115,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
16,0.0191,0.0945,0.0115,0.0866,0.1872,0.0519,0.0248,0.0871,0.0519,0.0157,0.3689,0.087,0.1891,0.1891,0.1187,0.0115,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.1671,0.1187,0.047,0.1561,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
17,0.0191,0.0945,0.0115,0.0866,0.1872,0.0519,0.0248,0.0871,0.0519,0.0157,0.3689,0.0869,0.0193,0.1891,0.1187,0.0115,0.1386,0.0106,0.0004,0.4386,0.0789,0.0115,0.0155,0.1891,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
18,0.0191,0.0945,0.0115,0.0866,0.0248,0.0519,0.0248,0.0871,0.0519,0.0157,0.3689,0.0869,0.0193,0.1891,0.1187,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.1891,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0519,0.1562,0.2717,0.0519,0.0157,0.0759,0.0193,0.1578
19,0.0191,0.0945,0.0115,0.0866,0.0248,0.0519,0.0248,0.0871,0.0519,0.0157,0.3689,0.0869,0.0193,0.1891,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.1891,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.1562,0.1669,0.0519,0.0157,0.0134,0.0193,0.1578
20,0.0191,0.0945,0.0115,0.0866,0.0248,0.0519,0.0248,0.0871,0.0519,0.0157,0.1562,0.0869,0.0193,0.1891,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.1187,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1669,0.0519,0.0157,0.0134,0.0193,0.0745
21,0.0191,0.0945,0.0115,0.0866,0.0248,0.0519,0.0248,0.0871,0.0519,0.0157,0.1562,0.0869,0.0193,0.1891,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.1746,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1187,0.0519,0.0157,0.0134,0.0193,0.0745
22,0.0191,0.0945,0.0115,0.0519,0.0248,0.0519,0.0248,0.0871,0.0519,0.0157,0.1562,0.0869,0.0193,0.1891,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1187,0.0519,0.0157,0.0134,0.0193,0.0745
23,0.0191,0.0945,0.0115,0.0519,0.0248,0.0519,0.0248,0.03,0.0519,0.0157,0.1562,0.0869,0.0157,0.1891,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1187,0.0519,0.0157,0.0134,0.0193,0.0745
24,0.0191,0.0945,0.0115,0.0519,0.0248,0.0519,0.0157,0.03,0.0519,0.0157,0.1174,0.0869,0.0157,0.1872,0.0948,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1187,0.0519,0.0157,0.0134,0.0193,0.0745
25,0.0191,0.0945,0.0115,0.0519,0.0248,0.0519,0.0157,0.0139,0.0519,0.0157,0.1174,0.0869,0.0157,0.1872,0.0311,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.1187,0.047,0.1386,0.0139,0.0519,0.1187,0.0155,0.0157,0.0134,0.0193,0.0745
26,0.0155,0.0945,0.0115,0.0519,0.0248,0.0519,0.0157,0.0139,0.0519,0.0157,0.1174,0.0869,0.0157,0.1872,0.0311,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.1595,0.0115,0.0157,0.0809,0.0193,0.047,0.1325,0.0139,0.0519,0.1187,0.0155,0.0157,0.0134,0.0193,0.0745
27,0.0155,0.0945,0.0115,0.0519,0.0248,0.0519,0.0157,0.0139,0.0519,0.0157,0.1174,0.0191,0.0157,0.1872,0.0311,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.0115,0.0115,0.0157,0.0809,0.0193,0.047,0.1325,0.0139,0.0519,0.1187,0.0155,0.0157,0.0134,0.0193,0.0745
28,0.0155,0.0866,0.0115,0.0519,0.0248,0.0519,0.0157,0.0139,0.0519,0.0157,0.1174,0.0191,0.0157,0.1872,0.0311,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0759,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.0115,0.0115,0.0157,0.0809,0.0193,0.047,0.1325,0.0139,0.0519,0.1187,0.0155,0.0157,0.0134,0.0193,0.0745
29,0.0155,0.0866,0.0115,0.0519,0.0248,0.0519,0.0157,0.0139,0.0519,0.0157,0.0193,0.0191,0.0157,0.1872,0.0311,0.0115,0.0172,0.0106,0.0004,0.047,0.0789,0.0115,0.0155,0.0248,0.0536,0.0248,0.0601,0.0191,0.0004,0.0004,0.0157,0.0139,0.047,0.0248,0.0115,0.0115,0.0115,0.0157,0.0809,0.0193,0.047,0.1325,0.0139,0.0519,0.1187,0.0155,0.0157,0.0134,0.0193,0.0745
